"Date","Type","Calls"
2019-04-21,"Baseline",256.224009387496
2019-04-22,"SevenDayAverage",265.155722672788
2019-04-22,"Baseline",228.728535713282
2019-04-23,"SevenDayAverage",262.092028264306
2019-04-23,"Baseline",258.551830638161
2019-04-24,"SevenDayAverage",261.846939519303
2019-04-24,"Baseline",243.640183175722
2019-04-25,"SevenDayAverage",261.601850774299
2019-04-25,"Baseline",228.728535713282
2019-04-26,"SevenDayAverage",262.04608476161
2019-04-26,"Baseline",228.950652706938
2019-04-27,"SevenDayAverage",262.490318748922
2019-04-27,"Baseline",229.172769700594
2019-04-28,"SevenDayAverage",262.743658504347
2019-04-28,"Baseline",236.924534525173
2019-04-29,"SevenDayAverage",262.996998259772
2019-04-29,"Baseline",244.676299349753
2019-04-30,"SevenDayAverage",263.250338015197
2019-04-30,"Baseline",252.428064174333
2019-05-01,"SevenDayAverage",263.503677770622
2019-05-01,"Baseline",260.179828998913
2019-05-02,"SevenDayAverage",261.306300771516
2019-05-02,"Baseline",260.107167944042
2019-05-03,"SevenDayAverage",259.108923772409
2019-05-03,"Baseline",260.03450688917
2019-05-04,"SevenDayAverage",256.911546773303
2019-05-04,"Baseline",259.961845834299
2019-05-05,"SevenDayAverage",258.368230799179
2019-05-05,"Baseline",245.011541754757
2019-05-06,"SevenDayAverage",259.824914825055
2019-05-06,"Baseline",230.061237675216
2019-05-07,"SevenDayAverage",257.159510901189
2019-05-07,"Baseline",230.209315670986
2019-05-08,"SevenDayAverage",254.494106977323
2019-05-08,"Baseline",230.357393666756
2019-05-09,"SevenDayAverage",251.828703053457
2019-05-09,"Baseline",230.505471662527
2019-05-10,"SevenDayAverage",258.710602932829
2019-05-10,"Baseline",261.631321860292
2019-05-11,"SevenDayAverage",258.23121290855
2019-05-11,"Baseline",245.846279767754
2019-05-12,"SevenDayAverage",257.75182288427
2019-05-12,"Baseline",230.061237675216
2019-05-13,"SevenDayAverage",257.788842383213
2019-05-13,"Baseline",230.283354668871
2019-05-14,"SevenDayAverage",257.825861882156
2019-05-14,"Baseline",230.505471662527
2019-05-15,"SevenDayAverage",256.026952907248
2019-05-15,"Baseline",261.550169906558
2019-05-16,"SevenDayAverage",261.701922758295
2019-05-16,"Baseline",246.027820784542
2019-05-17,"SevenDayAverage",267.376892609343
2019-05-17,"Baseline",230.505471662527
2019-05-18,"SevenDayAverage",271.76987315053
2019-05-18,"Baseline",230.505471662527
2019-05-19,"SevenDayAverage",276.162853691717
2019-05-19,"Baseline",230.505471662527
2019-05-20,"SevenDayAverage",280.555834232904
2019-05-20,"Baseline",230.505471662527
2019-05-21,"SevenDayAverage",271.959260505571
