"Date","Baseline","SevenDayAverage"
2020-03-21,260.97479515497,340.424162807268
2020-03-22,259.824545778411,344.121392946206
2020-03-23,257.359725685786,349.051033131457
2020-03-24,254.89490559316,353.980673316708
2020-03-25,253.744656216601,356.445493409334
2020-03-26,252.594406840043,358.910313501959
2020-03-27,251.444157463484,368.276629853937
2020-03-28,249.718783398646,375.178126113288
2020-03-29,247.993409333808,382.07962237264
2020-03-30,247.336123975775,390.706492696829
2020-03-31,246.678838617741,392.96591111507
2020-04-01,246.021553259708,395.22532953331
2020-04-02,245.035625222658,403.441396508728
2020-04-03,244.049697185607,402.619789811186
2020-04-04,243.063769148557,401.798183113644
2020-04-05,241.091913074457,396.868542928393
2020-04-06,239.120057000356,391.938902743142
2020-04-07,238.462771642323,389.309761311008
2020-04-08,237.805486284289,386.680619878874
2020-04-09,237.148200926256,380.107766298539
2020-04-10,235.504987531172,373.206270039188
2020-04-11,233.861774136088,358.417349483434
2020-04-12,232.218560741005,351.515853224083
2020-04-13,230.246704666904,343.628428927681
2020-04-14,228.274848592804,331.797292483078
2020-04-15,227.946205913787,324.895796223726
2020-04-16,227.61756323477,319.637513359458
2020-04-17,227.288920555753,319.418418240114
2020-04-18,227.288920555753,319.199323120769
2020-04-19,227.288920555753,318.980228001425
2020-04-20,227.288920555753,312.40737442109
2020-04-21,227.288920555753,310.517679016744
2020-04-22,227.288920555753,308.627983612398
2020-04-23,227.288920555753,303.205379408621
2020-04-24,227.288920555753,297.782775204845
2020-04-25,227.288920555753,293.017456359102
2020-04-26,227.288920555753,291.456403633773
2020-04-27,227.61756323477,289.895350908443
2020-04-28,227.946205913787,285.787317420734
2020-04-29,228.274848592804,285.499755076594
2020-04-30,228.274848592804,285.212192732455
2020-05-01,228.274848592804,279.050142500891
2020-05-02,228.60349127182,272.641610260064
2020-05-03,228.932133950837,266.397399358746
2020-05-04,229.260776629854,264.64463840399
2020-05-05,229.589419308871,262.891877449234
2020-05-06,229.918061987887,261.139116494478
2020-05-07,230.246704666904,259.660224438903
2020-05-08,229.918061987887,258.181332383327
2020-05-09,229.589419308871,259.495903099394
2020-05-10,229.260776629854,260.810473815461
2020-05-11,229.589419308871,260.810473815461
2020-05-12,229.918061987887,260.810473815461
2020-05-13,230.246704666904,254.89490559316
2020-05-14,230.246704666904,255.661738510866
2020-05-15,230.246704666904,256.428571428571
2020-05-16,230.246704666904,257.195404346277
2020-05-17,230.246704666904,259.331581759886
2020-05-18,230.246704666904,261.467759173495
2020-05-19,230.246704666904,262.125044531528
2020-05-20,230.246704666904,262.782329889562
2020-05-21,230.246704666904,262.453687210545
2020-05-22,230.246704666904,262.125044531528
2020-05-23,229.918061987887,261.796401852512
2020-05-24,229.589419308871,260.153188457428
2020-05-25,229.260776629854,258.509975062344
2020-05-26,229.589419308871,259.331581759886
2020-05-27,229.918061987887,260.153188457428
2020-05-28,230.246704666904,259.714998218739
2020-05-29,229.589419308871,259.27680798005
2020-05-30,228.932133950837,258.838617741361
2020-05-31,228.274848592804,256.620279657998
2020-06-01,228.274848592804,254.401941574635
2020-06-02,228.274848592804,252.512246170289
2020-06-03,228.274848592804,250.622550765942
2020-06-04,228.274848592804,249.307980049875
2020-06-05,228.274848592804,247.993409333808
2020-06-06,228.274848592804,245.528589241183
2020-06-07,227.781884574279,243.063769148557
2020-06-08,227.288920555753,242.625578909868
2020-06-09,227.288920555753,242.187388671179
2020-06-10,227.288920555753,241.74919843249
2020-06-11,227.288920555753,244.049697185607
2020-06-12,227.288920555753,246.350195938725
2020-06-13,227.288920555753,249.143658710367
2020-06-14,227.288920555753,251.937121482009
2020-06-15,227.946205913787,252.375311720698
2020-06-16,228.60349127182,252.813501959387
2020-06-17,229.260776629854,253.251692198076
2020-06-18,229.589419308871,251.937121482009
2020-06-19,229.918061987887,250.622550765942
2020-06-20,230.246704666904,252.92304951906
2020-06-21,230.575347345921,255.223548272177
2020-06-22,230.903990024938,263.768257926612
2020-06-23,231.232632703954,272.970252939081
2020-06-24,232.054239401496,280.857677235483
2020-06-25,232.875846099038,280.693355895974
2020-06-26,233.69745279658,280.529034556466
2020-06-27,233.861774136088,274.120502315639
2020-06-28,234.026095475597,269.683826148913
2020-06-29,234.190416815105,264.261221945137
2020-06-30,235.66930887068,258.961858745992
2020-07-01,237.148200926256,253.662495546847
2020-07-02,237.476843605273,256.579199323121
2020-07-03,237.805486284289,259.495903099394
2020-07-04,238.134128963306,259.331581759886
2020-07-05,238.627092981831,259.167260420378
2020-07-06,239.120057000356,262.125044531528
2020-07-07,239.613021018881,265.082828642679
2020-07-08,240.434627716423,267.383327395796
2020-07-09,241.256234413965,269.683826148913
2020-07-10,242.077841111507,275.599394371215
2020-07-11,242.077841111507,277.07828642679
2020-07-12,242.077841111507,278.557178482366
2020-07-13,242.73512646954,276.913965087282
2020-07-14,243.392411827574,275.270751692198
2020-07-15,244.049697185607,275.435073031706
2020-07-16,243.392411827574,275.599394371215
2020-07-17,242.73512646954,277.07828642679
2020-07-18,242.077841111507,278.557178482366
2020-07-19,242.077841111507,280.857677235483
2020-07-20,242.077841111507,283.1581759886
2020-07-21,242.077841111507,281.021998574991
2020-07-22,242.077841111507,278.885821161382
2020-07-23,240.598949055932,274.613466334165
2020-07-24,239.120057000356,274.942109013181
2020-07-25,238.462771642323,275.270751692198
2020-07-26,237.805486284289,277.352155325971
2020-07-27,237.148200926256,279.433558959743
2020-07-28,236.819558247239,281.514962593516
2020-07-29,236.490915568222,284.867117919487
2020-07-30,236.162272889206,288.219273245458
2020-07-31,235.66930887068,287.824902030638
2020-08-01,235.176344852155,287.430530815818
2020-08-02,234.847702173139,274.284823655148
2020-08-03,234.519059494122,274.887335233345
2020-08-04,234.190416815105,275.489846811543
2020-08-05,233.533131457072,276.09235838974
2020-08-06,232.875846099038,278.475017812611
2020-08-07,232.218560741005,280.857677235483
2020-08-08,231.889918061988,301.233523334521
2020-08-09,231.561275382971,309.613911649448
2020-08-10,231.232632703954,307.066930887068
2020-08-11,231.232632703954,304.519950124688
2020-08-12,231.232632703954,297.618453865337
2020-08-13,231.232632703954,295.482276451728
2020-08-14,231.232632703954,293.346099038119
2020-08-15,231.232632703954,279.543106519416
2020-08-16,231.232632703954,271.984324902031
2020-08-17,231.232632703954,271.107944424653
2020-08-18,231.232632703954,270.231563947275
2020-08-19,231.232632703954,269.355183469897
2020-08-20,231.561275382971,265.082828642679
2020-08-21,231.889918061988,265.247149982187
2020-08-22,232.218560741005,265.411471321696
2020-08-23,232.218560741005,263.603936587104
2020-08-24,232.218560741005,261.796401852512
2020-08-25,232.71152475953,264.589864624154
2020-08-26,233.204488778055,267.383327395796
2020-08-27,233.69745279658,270.01246882793
2020-08-28,234.190416815105,272.641610260064
2020-08-29,234.68338083363,276.256679729248
2020-08-30,235.176344852155,279.871749198432
2020-08-31,235.176344852155,279.433558959743
2020-09-01,235.176344852155,278.995368721055
2020-09-02,235.176344852155,278.557178482366
2020-09-03,235.176344852155,277.242607766299
2020-09-04,235.176344852155,275.928037050232
2020-09-05,235.176344852155,276.749643747773
2020-09-06,235.504987531172,277.571250445315
2020-09-07,235.833630210189,282.007926612041
2020-09-08,236.162272889206,286.444602778767
2020-09-09,236.819558247239,288.416458852868
2020-09-10,237.476843605273,290.388314926968
2020-09-11,238.134128963306,296.632525828286
2020-09-12,238.134128963306,300.247595297471
2020-09-13,238.134128963306,298.27573922337
2020-09-14,238.134128963306,296.30388314927
2020-09-15,238.627092981831,293.674741717136
2020-09-16,239.120057000356,291.045600285002
2020-09-17,239.613021018881,289.402386889918
2020-09-18,240.352467046669,283.486818667617
2020-09-19,241.091913074457,284.472746704667
2020-09-20,241.420555753473,285.458674741717
2020-09-21,241.74919843249,286.115960099751
2020-09-22,242.077841111507,286.773245457784
2020-09-23,243.063769148557,287.430530815818
2020-09-24,244.049697185607,288.416458852868
2020-09-25,245.035625222658,289.402386889918
2020-09-26,245.364267901674,288.745101531885
2020-09-27,245.692910580691,288.087816173851
2020-09-28,246.021553259708,288.52600641254
2020-09-29,246.678838617741,288.964196651229
2020-09-30,247.336123975775,289.402386889918
2020-10-01,247.993409333808,292.360171001069
2020-10-02,248.486373352333,299.754631278945
2020-10-03,248.979337370859,306.820448877805
2020-10-04,249.636622728892,306.820448877805
2020-10-05,250.293908086926,306.820448877805
2020-10-06,250.951193444959,306.820448877805
2020-10-07,251.608478802992,306.738288208051
2020-10-08,252.265764161026,306.656127538297
2020-10-09,252.923049519059,299.26166726042
2020-10-10,253.251692198076,286.773245457784
2020-10-11,253.580334877093,290.059672247952
2020-10-12,253.90897755611,293.346099038119
2020-10-13,254.237620235126,293.592581047382
2020-10-14,254.566262914143,293.839063056644
2020-10-15,254.89490559316,294.085545065907
2020-10-16,255.88083363021,300.576237976487
2020-10-17,256.86676166726,302.548094050588
2020-10-18,257.359725685786,304.519950124688
2020-10-19,257.852689704311,304.739045244033
2020-10-20,258.345653722836,304.958140363377
2020-10-21,258.838617741361,305.177235482722
2020-10-22,259.331581759886,312.40737442109
2020-10-23,259.824545778411,310.43551834699
2020-10-24,260.153188457428,308.463662272889
2020-10-25,260.481831136445,302.548094050588
2020-10-26,260.810473815461,301.781261132882
2020-10-27,261.632080513003,301.014428215176
2020-10-28,262.453687210545,300.247595297471
2020-10-29,263.275293908087,300.740559315996
2020-10-30,263.603936587104,301.233523334521
2020-10-31,263.93257926612,304.026986106163
2020-11-01,264.261221945137,306.820448877805
2020-11-02,264.754185963662,307.915924474528
2020-11-03,265.247149982187,309.01140007125
2020-11-04,265.740114000712,310.106875667973
2020-11-05,266.4795600285,308.135019593872
2020-11-06,267.219006056288,306.163163519772
2020-11-07,267.547648735305,305.670199501247
2020-11-08,267.876291414321,305.177235482722
2020-11-09,268.204934093338,303.862664766655
2020-11-10,268.697898111863,302.548094050588
2020-11-11,269.190862130388,301.233523334521
2020-11-12,269.683826148913,302.328998931243
2020-11-13,270.505432846455,303.424474527966
2020-11-14,271.327039543997,304.519950124688
2020-11-15,272.148646241539,311.42144638404
2020-11-16,273.298895618098,312.462148200926
2020-11-17,274.449144994656,313.502850017813
2020-11-18,275.599394371215,314.543551834699
2020-11-19,277.571250445315,306.90260954756
2020-11-20,279.543106519416,306.532886533666
2020-11-21,280.200391877449,306.163163519772
2020-11-22,280.857677235483,305.423717491984
2020-11-23,281.514962593516,304.684271464197
2020-11-24,283.486818667617,303.205379408621
2020-11-25,285.458674741717,301.726487353046
2020-11-26,286.608924118276,308.463662272889
2020-11-27,287.759173494834,309.942554328465
2020-11-28,288.909422871393,311.42144638404
2020-11-29,290.059672247952,312.243053081582
2020-11-30,291.20992162451,313.064659779124
2020-12-01,292.360171001069,319.966156038475
2020-12-02,293.510420377627,321.445048094051
2020-12-03,294.660669754186,322.923940149626
2020-12-04,295.810919130745,323.811275382971
2020-12-05,297.043329177057,324.698610616316
2020-12-06,298.27573922337,326.654034556466
2020-12-07,299.425988599929,328.609458496616
2020-12-08,300.576237976487,330.564882436765
2020-12-09,301.726487353046,328.387624688279
2020-12-10,302.876736729605,326.210366939793
2020-12-11,304.026986106163,323.909868186676
2020-12-12,305.177235482722,321.609369433559
2020-12-13,305.916681510509,314.050587816174
2020-12-14,306.656127538297,311.914410402565
2020-12-15,306.656127538297,309.778232988956
2020-12-16,306.656127538297,310.106875667973
2020-12-17,306.656127538297,310.43551834699
2020-12-18,306.656127538297,319.637513359458
2020-12-19,305.916681510509,322.923940149626
2020-12-20,305.177235482722,330.811364446028
2020-12-21,305.834520840755,338.69878874243
2020-12-22,306.491806198789,351.844495903099
